name,lat,lon
"430-20 1,5",50.447054," 30.461190"
335-18,50.447021,30.456021
326-18,50.447021,30.456021
325-18,50.447021,30.456021
321-18,50.447021,30.456021
322-18,50.447021,30.456021
"333б-18",50.447021,30.456021
04-28,50.4470577,30.46389
"219-28 0,5",50.4470577,30.46389
444-19,50.4480855,30.4585595
"414-28 0,5",50.4470577,30.46389
341-19,50.4480855,30.4585595
340-19,50.4480855,30.4585595
512-19,50.4480855,30.4585595
530-19,50.4480855,30.4585595
209-07,50.448603,30.457019
311-19,50.4480855,30.4585595
502-19,50.4480855,30.4585595
153-04,50.450681,30.455048
437-19,50.4480855,30.4585595
528-19,50.4480855,30.4585595
505-19,50.4480855,30.4585595
515-19,50.4480855,30.4585595
"530-19 0,5",50.4480855,30.4585595
732-07,50.448603,30.457019
734-07,50.448603,30.457019
504-19,50.4480855,30.4585595
"530-19 1,5",50.4480855,30.4585595
"528-19 1,5",50.4480855,30.4585595
301-19,50.4480855,30.4585595
37-13,50.447853,30.455563
715-07,50.448603,30.457019
312-07,50.448603,30.457019
611-07,50.448603,30.457019
723-07,50.448603,30.457019
632-07,50.448603,30.457019
725-07,50.448603,30.457019
614-07,50.448603,30.457019
"725а-07",50.448603,30.457019
617-07,50.448603,30.457019
736-07,50.448603,30.457019
724-07,50.448603,30.457019
628-07,50.448603,30.457019
303-07,50.448603,30.457019
717-07,50.448603,30.457019
738-07,50.448603,30.457019
610-07,50.448603,30.457019
639-07,50.448603,30.457019
710-07,50.448603,30.457019
639-1-07,50.448603,30.457019
706-07,50.448603,30.457019
516-19,50.4480855,30.4585595
621-07,50.448603,30.457019
305-07,50.448603,30.457019
707-07,50.448603,30.457019
711-07,50.448603,30.457019
645-07,50.448603,30.457019
612-07,50.448603,30.457019
728-07,50.448603,30.457019
712-07,50.448603,30.457019
207/1-19,50.4480855,30.4585595
301-12,50.4483613,30.4546884
525-19,50.4480855,30.4585595
719-07,50.448603,30.457019
709-07,50.448603,30.457019
606-07,50.448603,30.457019
312-12,50.4483613,30.4546884
1-20,50.447054," 30.461190"
643-07,50.448603,30.457019
714-07,50.448603,30.457019
729-07,50.448603,30.457019
208/3-19,50.4480855,30.4585595
513-19,50.4480855,30.4585595
1-205-01,50.449306,30.460681
518-19,50.4480855,30.4585595
403-20,50.447054," 30.461190"
"634а-07",50.448603,30.457019
321-12,50.4483613,30.4546884
300-01,50.449306,30.460681
212-21,50.4465815,30.4610055
214-19,50.4480855,30.4585595
526-19,50.4480855,30.4585595
04-01,50.449306,30.460681
509-21,50.4465815,30.4610055
506-21,50.4465815,30.4610055
"117а/1-07",50.448603,30.457019
426-19,50.4480855,30.4585595
623-07,50.448603,30.457019
431-17,50.4467592,30.45714
709-22,50.4459415,30.4547315
501-20,50.447054," 30.461190"
429-17,50.4467592,30.45714
420-05,50.449142,30.4653065
171/7-04,50.450681,30.455048
704-05,50.449142,30.4653065
704-07,50.448603,30.457019
739-07,50.448603,30.457019
726-07,50.448603,30.457019
166-04,50.450681,30.455048
823-07,50.448603,30.457019
835-07,50.448603,30.457019
446-19,50.4480855,30.4585595
519-19,50.4480855,30.4585595
287/1-04,50.450681,30.455048
171/5-04,50.450681,30.455048
627-07,50.448603,30.457019
524-19,50.4480855,30.4585595
517-19,50.4480855,30.4585595
205-04,50.450681,30.455048
114-04,50.450681,30.455048
048-04,50.450681,30.455048
809-07,50.448603,30.457019
208/2-19,50.4480855,30.4585595
205/4-19,50.4480855,30.4585595
205/3-19,50.4480855,30.4585595
314/1-19,50.4480855,30.4585595
218-19,50.4480855,30.4585595
205/2-19,50.4480855,30.4585595
111-19,50.4480855,30.4585595
727-07,50.448603,30.457019
207/2-19,50.4480855,30.4585595
423-19,50.4480855,30.4585595
421-19,50.4480855,30.4585595
431-19,50.4480855,30.4585595
112-18,50.447021,30.456021
105-18,50.447021,30.456021
429-19,50.4480855,30.4585595
150-04,50.450681,30.455048
36-13,50.447853,30.455563
426-17,50.4467592,30.45714
418-17,50.4467592,30.45714
317-12,50.4483613,30.4546884
"166е-01",50.449306,30.460681
305-09,50.446855,30.4617485
220-07,50.448603,30.457019
309-09,50.446855,30.4617485
201/2-19,50.4480855,30.4585595
529-19,50.4480855,30.4585595
215-19,50.4480855,30.4585595
217-19,50.4480855,30.4585595
103-19,50.4480855,30.4585595
532/1-19,50.4480855,30.4585595
531/1-19,50.4480855,30.4585595
35-13,50.447853,30.455563
126-01,50.449306,30.460681
615-07,50.448603,30.457019
629-07,50.448603,30.457019
287/6-04,50.450681,30.455048
287/7-04,50.450681,30.455048
251-04,50.450681,30.455048
267-04,50.450681,30.455048
345-19,50.4480855,30.4585595
234-04,50.450681,30.455048
237-04,50.450681,30.455048
265-04,50.450681,30.455048
207-20,50.447054," 30.461190"
402-12,50.4483613,30.4546884
299-3-01,50.449306,30.460681
299-2-01,50.449306,30.460681
120-01,50.449306,30.460681
"300а-01",50.449306,30.460681
07-1-01,50.449306,30.460681
05-01,50.449306,30.460681
299-5-01,50.449306,30.460681
414-19,50.4480855,30.4585595
299-6-01,50.449306,30.460681
298/2-01,50.449306,30.460681
113-18,50.447021,30.456021
506-17,50.4467592,30.45714
108-18,50.447021,30.456021
299-7-01,50.449306,30.460681
214-01,50.449306,30.460681
415-19,50.4480855,30.4585595
614-22,50.4459415,30.4547315
310-01,50.449306,30.460681
312-01,50.449306,30.460681
111-07,50.448603,30.457019
236-01,50.449306,30.460681
219-04,50.450681,30.455048
011-01,50.449306,30.460681
218-01,50.449306,30.460681
22-08,50.4520315,30.4533535
