url_wiki,name
"http://wiki.kpi.ua/index.php/Наукова робота за темою магістерської дисертації-2. Науково-дослідна робота за темою магістерської дисертації_(20402040)","Наукова робота за темою магістерської дисертації-2. Науково-дослідна робота за темою магістерської дисертації"
"http://wiki.kpi.ua/index.php/Машинне навчання_(20402040)","Машинне навчання"
"http://wiki.kpi.ua/index.php/Технології програмування спеціалізованих процесорів_(20402040)","Технології програмування спеціалізованих процесорів"
"http://wiki.kpi.ua/index.php/Філософська гносеологія та епістемологія_(20403320)","Філософська гносеологія та епістемологія"
"http://wiki.kpi.ua/index.php/Організація науково-інноваційної діяльності_(20402040)","Організація науково-інноваційної діяльності"
"http://wiki.kpi.ua/index.php/Іноземна мова для наукової діяльності: Іноземна мова наукової комунікації_(20402830)","Іноземна мова для наукової діяльності: Іноземна мова наукової комунікації"
"http://wiki.kpi.ua/index.php/Захист інформації у комп'ютерних системах_(20402040)","Захист інформації у комп'ютерних системах"
"http://wiki.kpi.ua/index.php/Технології проектування комп'ютерних систем-2. Методологічне забезпечення САПР_(20402040)","Техн. проект. комп. систем-2. Методол. забезп. САПР"
"http://wiki.kpi.ua/index.php/Гібридні комп'ютерні ситеми_(20402040)","Гібридні КС"
"http://wiki.kpi.ua/index.php/Надійність комп'ютерних систем_(20402040)","Надійність комп'ютерних систем"
"http://wiki.kpi.ua/index.php/Основи конструювання комп'ютерів_(20402040)","Основи конструювання комп'ютерів"
"http://wiki.kpi.ua/index.php/Правові основи інформаційної безпеки_(20403370)","Правові основи інформаційної безпеки"
"http://wiki.kpi.ua/index.php/Паралельні та розподілені обчислення_(20402040)","Паралельні та розподілені обчислення"
"http://wiki.kpi.ua/index.php/Архітектура комп'ютерів-3. Мікропроцесорні засоби_(20402040)","Архітектура комп'ютерів-3. Мікропроцесорні засоби"
"http://wiki.kpi.ua/index.php/Комп'ютерна схемотехніка-2. Периферійні пристрої_(20402040)","Комп'ютерна схемотехніка-2. Периферійні пристрої"
"http://wiki.kpi.ua/index.php/Організація обчислювальних процесів_(20402040)","Організація обчислювальних процесів"
"http://wiki.kpi.ua/index.php/Комп'ютерні мережі-1. Локальні комп'ютерні мережі_(20402040)","Комп'ютерні мережі-1"
"http://wiki.kpi.ua/index.php/Програмування мобільних систем_(20402040)","Програмування мобільних систем"
"http://wiki.kpi.ua/index.php/Іноземна мова професійного спрямування. Практичний курс іноземної мови для професійного спрямування-І_(20402880)","Іноз.мова проф.спрямув. Практичний курс-І"
"http://wiki.kpi.ua/index.php/Методи оптимізації та планування експерименту_(20402040)","Методи оптимізації та планування експерименту"
"http://wiki.kpi.ua/index.php/Алгоритми та методи обчислень_(20402040)","Алгоритми та методи обчислень"
"http://wiki.kpi.ua/index.php/Теорія електричних та магнітних кіл-2. Додаткові розділи_(20401610)","Теорія електричних та магнітних кіл-2. Додаткові розділи"
"http://wiki.kpi.ua/index.php/Архітектура комп'ютерів-1. Арифметичні та управляючі пристрої_(20402040)","Архітектура комп'ютерів-1. Арифметичні та управляючі пристрої"
"http://wiki.kpi.ua/index.php/Іноземна мова. Практичний курс іноземної мови-ІІ_(20402880)","Іноз. мова. Практич. курс іноз. мови-ІІ"
"http://wiki.kpi.ua/index.php/Інженерія програмного забезпечення-2. Проектування програмного забепечення_(20402040)","ІПЗ-2. Проектування програмного забепечення"
"http://wiki.kpi.ua/index.php/Комп'ютерна електроніка_(20402040)","Комп'ютерна електроніка"
"http://wiki.kpi.ua/index.php/Стратегія охорони навколишнього середовища_(20401350)","Стратег. охор. навкол. середовища"
