id_campus,name,name_campus,title,faculty_id,name_short
10197,"КУМЛК ФЛ","KUMLK FL","Кафедра української мови, літератури та культури ФЛ",10107,"КУМЛК"
10135,"ЕП ФММ","EP FMM","Кафедра економіки і підприємництва ФММ",10108,"ЕП"
10161,"МЕ ФММ","ME FMM","Кафедра міжнародної економіки ФММ",10108,"МЕ"
10155,"ММЕС ФММ","MMES FMM","Кафедра математичного моделювання економічних систем ФММ",10108,"ММЕС"
10159,"КМ ФММ","KM FMM","Кафедра менеджменту ФММ",10108,"КМ"
10174,"ПМ ФММ","PM FMM","Кафедра промислового маркетингу ФММ",10108,"ПМ"
10186,"ТПЕ ФММ","TPE FMM","Кафедра теоретичної і прикладної економіки ФММ",10108,"ТПЕ"
10169,"ПМА ФПМ","PMA FPM","Кафедра прикладної математики ФПМ",10110,"ПМА"
12134,"ПЗКС ФПМ","PZKS FPM","Кафедра програмного забезпечення комп'ютерних систем ФПМ",10110,"ПЗКС"
12153,"СПСКС ФПМ","","Кафедра системного програмування і спеціалізованих комп'ютерних систем ФПМ",10110,"СПСКС"
12193,"КІППІВ ФСП","KIPPIV FSP","Кафедра інформаційного права та права інтелектуальної власності ФСП",12046,"КІППІВ"
12067,"КІ ФСП","KI FSP","Кафедра історії ФСП",12046,"КІ"
12192,"КГАП ФСП","KGAP FSP","Кафедра господарського та адмінистративного права ФСП",12046,"КГАП"
12070,"ПП ФСП","PP FSP","Кафедра психології та педагогіки ФСП",12046,"ПП"
12191,"КПП ФСП","KPP FSP","Кафедра публічного права ФСП",12046,"КПП"
12217,"КС ФСП","KS FCP","Кафедра соціології ФСП",12046,"КС"
12190,"КТПУ ФСП","KTPU FSP","Кафедра теорії та практики управління ФСП",12046,"КТПУ"
12069,"КФ ФСП","KF FSP","Кафедра філософії ФСП",12046,"КФ"
10142,"ЗНХ ХТФ","ZNH HTF","Кафедра загальної та неорганічної хімії ХТФ",10114,"ЗНХ"
10149,"КХТП ХТФ","KHTP HTF","Кафедра кібернетики хіміко-технологічних процесів  ХТФ",10114,"КХТП"
10166,"ОХтаТОР ХТФ","OHtaTOR HTF","Кафедра органічної хімії та технології органічних речовин  ХТФ",10114,"ОХтаТОР"
10195,"КТЕВ ХТФ","KTEV HTF","Кафедра технології електрохімічних виробництв ХТФ",10114,"КТЕВ"
12646,"ТНР, В та ЗХТ","TNRVtaZHT HTF","Кафедра технології неорганічних речовин, водоочищення та загальної хімічної технології ХТФ",10114,"ТНР, В та ЗХТ"
10204,"ФХ ХТФ","FH HTF","Кафедра фізичної хімії ХТФ",10114,"ФХ"
10207,"ХТКС ХТФ","HTKS HTF","Кафедра хімічної технології кераміки та скла ХТФ",10114,"ХТКС"
10208,"ХТКМ ХТФ","HTKM HTF","Кафедра хімічної технології композиційних матеріалів ХТФ",10114,"ХТКМ"
