teacher_id,cathedra_id
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=3f816c31-5cc1-4fe8-aa90-63c041d056b8,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=5f466268-4a8a-4162-9ecd-b725cae13118,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=e5ad55d7-919a-4648-bfcc-0dc8ec999d70,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=8c838266-75f3-4240-8c46-aaea1dddc946,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=0b2d966c-8c9b-4154-b3ad-687e0bc56105,10120
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=0b2d966c-8c9b-4154-b3ad-687e0bc56105,10193
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=0b2d966c-8c9b-4154-b3ad-687e0bc56105,10121
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=0b2d966c-8c9b-4154-b3ad-687e0bc56105,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=26bd37cd-e01e-48e2-93f7-8ff64506e409,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=b8bea4e7-ed1c-411b-b6a9-7f497a9cee72,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=927564af-5226-4f9f-af68-7f2fc7f07979,10120
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=927564af-5226-4f9f-af68-7f2fc7f07979,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=a9cb335f-7891-4c6a-ab14-b2952757a0c8,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=d3e0e704-91f1-4579-b556-eaaa87afa8d2,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=8610481f-08e4-4e01-a1f8-19f0b9829ceb,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=7507d508-d0a2-4c01-a858-a063f8d724cc,10120
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=7507d508-d0a2-4c01-a858-a063f8d724cc,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=cd133ad0-5316-49bf-ab13-6c1503b1fcab,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=6aaef277-6c11-45c3-a744-e2af454ccffb,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=76ccb9d4-5109-4268-ba10-1af852227700,10185
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=33ec692b-1f64-470b-b7b8-9c2d1dfa73de,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=0d3b4492-f3b7-42c5-a4fe-1dbaa2d8ef8e,10164
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=c630606d-c286-46cd-bf33-85307498a711,11207
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=87c5ebf0-d13a-4585-805d-9303559e2819,12153
http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?v=a2aa6bbd-c251-4cec-9445-f7d8f3649ba2,10164
