id_campus,name,name_rozklad,url_rozklad,cathedra_id
7225,"ІП-72","ІП-72",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=8b2432eb-3127-4302-b98d-c350feafcf1f,10120
7222,"ІП-73","ІП-73",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=d0ec76b9-57be-4be3-9ade-6d2c32adb6e4,10164
7223,"ІП-74","ІП-74",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=d3e535f6-9f3a-42e6-9dca-224242001b06,10164
8323,"ІП-75","ІП-75",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=e6e93d60-4558-402b-b71d-e4d9f5db6fb9,10164
8324,"ІП-76","ІП-76",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=b6d9e1f2-44aa-4797-8c6f-1108e17ff8a8,10164
8301,"ІП-81","ІП-81",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=1b486adf-a8e9-4c43-a3ec-2ccf70f3579b,10120
8302,"ІП-82","ІП-82",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=494e5743-35fb-4a3f-b868-44662e6cd66e,10120
8333,"ІП-83","ІП-83",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=95fdb1fc-e273-4caa-90c3-9128a4651b95,10164
8334,"ІП-84","ІП-84",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=fc216c80-914b-4bc5-9629-a6fb1ff2f694,10164
10053,"ІП-86","ІП-86",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=b5077f37-3070-42c0-b99b-5182f9cbdd94,10164
10054,"ІП-87","ІП-87",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=c7933c85-cf9d-44e6-9636-a7e0f8ed50fb,10164
8763,"ІП-91","ІП-91",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=cdce501c-e504-4f5c-ac0c-bfe53974f7fa,10120
8775,"ІП-91ф","ІП-91ф",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=a9e886a4-de0b-447a-9ccd-1ad2d4fd986f,10120
8764,"ІП-92","ІП-92",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=20eef8aa-5e2b-4225-8f05-e8fc682dc125,10120
8802,"ІП-93","ІП-93",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=85c0e20d-91e2-474f-9eea-d01718650b6c,10164
8803,"ІП-94","ІП-94",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=c5015ba2-7ba6-427a-ba0a-020719c426bb,10164
8804,"ІП-95","ІП-95",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=60d0e743-eddf-4a6d-81a2-06bc5a5fd1d2,10164
8765,"ІП-96","ІП-96",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=c9628094-1803-473e-bc86-16a7101c8e84,10120
10040,"ІП-98","ІП-98",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=a1da1be5-9b5c-43f5-b627-b1daff1c9832,10164
2583,"ІП-з01","ІП-з01 (АСОІУ)",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=b8008ca5-01b1-4657-9f96-422ab3d6a4cc,10120
10019,"ІП-з01мп","ІП-з01мп",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=745800fd-9243-4b8a-bab7-b4e54b6ebe49,10120
7232,"ІП-з71","ІП-з71",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=08395576-68b2-4f5c-94de-34cdbb42f7ff,10120
7231,"ІП-з72","ІП-з72",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=96b4c5ff-3ab6-458a-ba51-4e958f92433f,10164
8303,"ІП-з81","ІП-з81",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=39f99e76-5617-44dc-bd5b-56b20366586d,10120
8339,"ІП-з82","ІП-з82",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=daadb91a-baa2-4a67-aa08-e5a42287c3ea,10164
8771,"ІП-з91","ІП-з91",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=c0e3e64a-b4a8-4c3e-8340-9031c626999b,10120
8808,"ІП-з92ф","ІП-з92ф",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=d3e443bf-e892-4403-a148-1ddac4752b88,10164
2561,"ІС-01","ІС-01",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=275813aa-95b5-46fa-bdca-3bbc605f13c2,10120
10020,"ІС-01мн","ІС-01мн",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=2854c763-f58d-4405-8db2-02f229174dea,10120
2562,"ІС-02","ІС-02",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=da792f1f-a6fa-4596-b372-dd98c9483f32,10120
10021,"ІС-02мп","ІС-02мп",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=1aed12dc-7989-4736-9c67-917361c9ca66,10120
2563,"ІС-03","ІС-03",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=d22acd0f-a15d-48ab-a699-4a0fdda7aad8,10120
2572,"ІС-71","ІС-71",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=6e40f9cc-7a54-473e-a884-b636c51d741c,10120
2568,"ІС-72","ІС-72",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=5966bc71-4bc1-43dd-b0bc-4f59f91ac4f3,10120
2573,"ІС-73","ІС-73",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=66a67337-5abc-4c7b-86f1-350168002041,10120
2555,"ІС-81","ІС-81",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=5e39a064-9544-43c9-8230-a2a0782997c6,10120
2556,"ІС-82","ІС-82",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=9f3338a8-b4ba-4f73-b929-49fe179bb2cb,10120
2557,"ІС-83","ІС-83",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=582b1b39-745a-45e9-a5d6-b72b21e52db8,10120
2558,"ІС-91","ІС-91",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=743e7157-ab41-4ce3-84e4-c8e49ad1e4fc,10120
2559,"ІС-92","ІС-92",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=6c31f78f-1302-4f24-8d33-417c41e844e7,10120
2560,"ІС-93","ІС-93",http://rozklad.kpi.ua/Schedules/ViewSchedule.aspx?g=e090a1d7-93e7-4b3f-8641-0983259391b6,10120
