uuid,name,faculty_id
e41c403d-3719-45be-8f46-80736dcae94f,ІК-01,10106
9f91087a-4827-4126-a7da-5bb73b9f4161,ІК-01мн,10106
222bf7d0-02a2-4e12-871a-116ca00661e9,ІК-01мп,10106
1ca1ca1e-6019-4f39-8e43-531bd0dea8cd,ІК-01ф,10106
a0b7b304-2030-4203-a690-814ce4e1e23f,ІК-02,10106
ad633c29-3d1f-4eb7-ae78-e338a39e967c,ІК-03,10106
4b22ed49-97e3-4177-acb2-83831d22dd8a,ІК-71,10106
29de8b50-421c-44e8-ae9c-0aa5339ede76,ІК-72,10106
0e630658-68fe-406d-b9d6-d2feb81a759f,ІК-73,10106
c53a4221-d7ca-4417-8534-dbccce1c3d1a,ІК-81,10106
d956aba4-ee4d-4561-b041-35ac6310da3f,ІК-82,10106
0df423fc-a2ac-4810-b155-5adbdcfab898,ІК-83,10106
e1e87019-7866-4d19-8d0a-6c676aa8e3c6,ІК-91,10106
ae9fde91-a22e-494c-a219-d868a66f2b85,ІК-92,10106
da5e1ec8-415a-4896-bc7a-c4aa6a145a60,ІК-93,10106
55b06f8b-886b-4137-8fd8-2227ff20646d,ІО-01,10106
17d61114-321e-4a6b-b395-0e045b6416b7,ІО-01мн,10106
952eab96-12f5-4fb7-bde3-99bfcbd1d14a,ІО-01мп,10106
5d4d5107-68c2-4d26-858a-40a2b24993c7,ІО-01ф,10106
3d6231ca-9e07-4115-ba50-89e637b83259,ІО-02,10106
ed1db304-c382-4d5b-a429-db9ed998dd63,ІО-02мп,10106
c649bcf5-767a-478f-8404-02fd75d1281f,ІО-03,10106
284d44ab-7e9a-4195-8216-5bdfe7dd2494,ІО-04,10106
b1d5bf8f-3604-4680-b694-010eeeaff0a0,ІО-05,10106
2e9e5eea-6da3-479e-9df7-19f13d3d4d7c,ІО-06,10106
9af95f1b-84da-4926-820a-8b080590a894,ІО-71,10106
68817254-58fa-4ddf-8c9d-e41823a69932,ІО-72,10106
f1d97653-afbb-4238-9095-db9e83f7cb4e,ІО-81,10106
a6374cf8-2d55-48b6-ba59-13af6441fe28,ІО-82,10106
4dcb052f-56b6-4a78-8b42-3e897e1b8ea8,ІО-83,10106
927927a8-55c9-4bb8-88ad-2a22dd8b2180,ІО-91,10106
3c588df9-8e37-418f-8624-bf108dba5674,ІО-91ф,10106
11d7c8d1-29a9-4c89-96ea-bcaafbab5f9a,ІО-92,10106
794fb5cd-4577-43fb-aa10-9799f973d622,ІО-93,10106
b7b399d2-4554-47ff-af5a-123234d120ab,ІП-01,10106
5fd29ac1-cdf8-4922-a656-bc9e89a4cf6e,ІП-01мн,10106
14d1c07a-cfcd-4761-b878-e6a55dc85599,ІП-01ф,
4a59b403-0134-4bf3-bf4a-feb388e80a72,ІП-02,10106
dcd3a977-b17b-43af-8f84-94430094da8a,ІП-02мп,10106
28c68c91-9e07-4f5b-90a7-e4884c924ceb,ІП-02ф,
ce34b265-a361-4984-8a59-2c0023138ce8,ІП-03,10106
87211a23-d645-43bf-8400-7042a9d0a388,ІП-03мн,10106
e862f093-c1e6-4f00-b29b-6492b5684d42,ІП-04,10106
1c403f95-ba62-4289-9bac-19db6b7f8ae0,ІП-04мп,10106
9c256301-956a-417e-8262-20cbad441576,ІП-05,10106
1a759706-ad00-466b-a9cd-aa2305fdddb0,ІП-71,10106
8b2432eb-3127-4302-b98d-c350feafcf1f,ІП-72,10106
d0ec76b9-57be-4be3-9ade-6d2c32adb6e4,ІП-73,10106
d3e535f6-9f3a-42e6-9dca-224242001b06,ІП-74,10106
e6e93d60-4558-402b-b71d-e4d9f5db6fb9,ІП-75,10106
b6d9e1f2-44aa-4797-8c6f-1108e17ff8a8,ІП-76,10106
1b486adf-a8e9-4c43-a3ec-2ccf70f3579b,ІП-81,10106
494e5743-35fb-4a3f-b868-44662e6cd66e,ІП-82,10106
95fdb1fc-e273-4caa-90c3-9128a4651b95,ІП-83,10106
fc216c80-914b-4bc5-9629-a6fb1ff2f694,ІП-84,10106
b5077f37-3070-42c0-b99b-5182f9cbdd94,ІП-86,10106
c7933c85-cf9d-44e6-9636-a7e0f8ed50fb,ІП-87,10106
cdce501c-e504-4f5c-ac0c-bfe53974f7fa,ІП-91,10106
a9e886a4-de0b-447a-9ccd-1ad2d4fd986f,ІП-91ф,10106
20eef8aa-5e2b-4225-8f05-e8fc682dc125,ІП-92,10106
271a47b1-5030-433d-bfe2-0210c0a38504,ІП-92ф,
85c0e20d-91e2-474f-9eea-d01718650b6c,ІП-93,10106
c5015ba2-7ba6-427a-ba0a-020719c426bb,ІП-94,10106
60d0e743-eddf-4a6d-81a2-06bc5a5fd1d2,ІП-95,10106
c9628094-1803-473e-bc86-16a7101c8e84,ІП-96,10106
a1da1be5-9b5c-43f5-b627-b1daff1c9832,ІП-98,10106
275813aa-95b5-46fa-bdca-3bbc605f13c2,ІС-01,10106
2854c763-f58d-4405-8db2-02f229174dea,ІС-01мн,10106
6c6eda27-5ceb-4bdd-9ecd-a96197147a66,ІС-01ф,
da792f1f-a6fa-4596-b372-dd98c9483f32,ІС-02,10106
1aed12dc-7989-4736-9c67-917361c9ca66,ІС-02мп,10106
d22acd0f-a15d-48ab-a699-4a0fdda7aad8,ІС-03,10106
6e40f9cc-7a54-473e-a884-b636c51d741c,ІС-71,10106
5966bc71-4bc1-43dd-b0bc-4f59f91ac4f3,ІС-72,10106
66a67337-5abc-4c7b-86f1-350168002041,ІС-73,10106
5e39a064-9544-43c9-8230-a2a0782997c6,ІС-81,10106
9f3338a8-b4ba-4f73-b929-49fe179bb2cb,ІС-82,10106
582b1b39-745a-45e9-a5d6-b72b21e52db8,ІС-83,10106
743e7157-ab41-4ce3-84e4-c8e49ad1e4fc,ІС-91,10106
6c31f78f-1302-4f24-8d33-417c41e844e7,ІС-92,10106
e090a1d7-93e7-4b3f-8641-0983259391b6,ІС-93,10106
90866879-d4b7-44b2-8d36-ee7fc33eef06,ІТ-01,10106
8f6417fb-18c9-4cdb-94c8-b633a2882256,ІТ-01мн,10106
a2dcfc09-88aa-42e5-a4f8-46117598e427,ІТ-02,10106
22d8327c-c951-4a29-9a68-db484b706c4c,ІТ-02мн,10106
16ba0dc5-d33e-490f-8015-590301a605a3,ІТ-02ф,10106
